Time;cogumelo;Anotação
14:00:58.499 ;26607;0
14:01:01.227 ;26772;0
14:01:04.002 ;27049;0
14:01:06.724 ;28464;0
14:01:09.465 ;29768;0
14:01:12.216 ;30729;0
14:01:14.964 ;30334;0
14:01:17.729 ;26524;0
14:01:20.480 ;25477;0
14:01:23.213 ;24174;0
14:01:25.958 ;26207;0
14:01:28.725 ;24983;0
14:01:31.457 ;24977;0
14:01:34.192 ;22961;0
14:01:36.964 ;23303;0
14:01:39.703 ;23633;0
14:01:42.442 ;23124;0
14:01:45.196 ;22051;0
14:01:47.942 ;20957;0
14:01:50.702 ;22166;0
14:01:53.449 ;21536;0
14:01:56.187 ;21068;0
14:01:58.916 ;23042;0
14:02:01.693 ;23876;0
14:02:04.412 ;24669;0
14:02:07.177 ;23906;0
14:02:09.901 ;24320;0
14:02:12.677 ;24361;0
14:02:15.426 ;24638;0
14:02:18.161 ;27147;0
14:02:20.893 ;24543;0
14:02:23.666 ;24864;0
14:02:26.410 ;23197;0
14:02:29.142 ;24222;0
14:02:31.906 ;22019;0
14:02:34.636 ;22285;0
14:02:37.400 ;22649;0
14:02:40.143 ;23517;0
14:02:42.893 ;24424;0
14:02:45.648 ;24579;0
14:02:48.383 ;23805;0
14:02:51.123 ;22494;0
14:02:53.855 ;23551;0
14:02:56.632 ;24931;0
14:02:59.382 ;24688;0
14:03:02.102 ;24364;0
14:03:04.857 ;24631;0
14:03:07.595 ;24781;0
14:03:10.343 ;23674;0
14:03:13.095 ;24208;0
14:03:15.867 ;23600;0
14:03:18.606 ;24986;0
14:03:21.333 ;27238;0
14:03:24.083 ;25385;0
14:03:26.829 ;26101;0
14:03:29.595 ;28122;0
14:03:32.318 ;26454;0
14:03:35.094 ;22311;0
14:03:37.815 ;22213;0
14:03:40.594 ;22398;0
14:03:43.334 ;23450;0
14:03:46.081 ;24022;0
14:03:48.820 ;23939;0
14:03:51.560 ;27579;0
14:03:54.314 ;24632;0
14:03:57.053 ;24445;0
14:03:59.817 ;26125;0
14:04:02.565 ;27493;0
14:04:05.311 ;25754;0
14:04:08.038 ;24005;0
14:04:10.789 ;23736;0
14:04:13.529 ;23105;0
14:04:16.305 ;24088;0
14:04:19.043 ;24112;0
14:04:21.783 ;25658;0
14:04:24.545 ;24521;0
14:04:27.284 ;22968;0
14:04:30.029 ;23848;0
14:04:32.763 ;23129;0
14:04:35.505 ;23330;0
14:04:38.260 ;25201;0
14:04:41.011 ;23354;0
14:04:43.749 ;24091;0
14:04:46.495 ;22746;0
14:04:49.244 ;21349;0
14:04:51.989 ;25061;0
14:04:54.770 ;23573;0
14:04:57.518 ;23173;0
14:05:00.239 ;24452;0
14:05:02.996 ;25236;0
14:05:05.730 ;26440;0
14:05:08.504 ;26571;0
14:05:11.246 ;27309;0
14:05:13.996 ;27692;0
14:05:16.748 ;29085;0
14:05:19.484 ;27787;0
14:05:22.210 ;28709;0
14:05:24.959 ;27767;0
14:05:27.716 ;27243;0
14:05:30.484 ;25989;0
14:05:33.206 ;25915;0
14:05:35.964 ;25849;0
14:05:38.706 ;26178;0
14:05:41.446 ;25839;0
14:05:44.217 ;29283;0
14:05:46.938 ;29512;0
14:05:49.705 ;31247;0
14:05:52.440 ;31423;0
14:05:55.199 ;29123;0
14:05:57.953 ;27870;0
14:06:00.684 ;26506;0
14:06:03.432 ;26461;0
14:06:06.200 ;29036;0
14:06:08.935 ;28134;0
14:06:11.665 ;27414;0
14:06:14.425 ;26477;0
14:06:17.156 ;28241;0
14:06:19.914 ;29234;0
14:06:22.656 ;30051;0
14:06:25.429 ;30602;0
14:06:28.152 ;33515;0
14:06:30.922 ;32530;0
